issue,year,n,prop,prop_lib,prop_cons
abhlth,1983,1520,0.8973684210526316,0.8926553672316384,0.8697318007662835
abnomore,1983,1520,0.3894736842105263,0.5168539325842697,0.3436293436293436
abpoor,1983,1507,0.4366290643662906,0.5423728813559322,0.38671875
abrape,1983,1504,0.8284574468085106,0.8156424581005587,0.7984189723320159
absingle,1983,1493,0.39383791024782316,0.47752808988764045,0.35797665369649806
busing,1983,1488,0.2452956989247312,0.2909090909090909,0.1821705426356589
cappun,1983,1523,0.2324359816152331,0.30857142857142855,0.14015151515151514
fehome,1983,1539,0.7680311890838206,0.8068181818181818,0.7283018867924528
fework,1983,1561,0.766175528507367,0.8,0.7251908396946565
grass,1983,1546,0.2095730918499353,0.3522727272727273,0.15849056603773584
helpblk,1983,1120,0.24196428571428572,0.3893129770992366,0.16842105263157894
helppoor,1983,899,0.560622914349277,0.6785714285714286,0.37735849056603776
helpsick,1983,1036,0.6882239382239382,0.7734375,0.5804597701149425
hitbeatr,1983,1534,0.1408083441981747,0.15789473684210525,0.14173228346456693
hitchild,1983,1534,0.5860495436766623,0.5988700564971752,0.5930232558139535
hitdrunk,1983,1547,0.9036845507433743,0.9209039548022598,0.8969465648854962
hitmarch,1983,1558,0.9646983311938383,0.9776536312849162,0.9693486590038314
hitok,1983,1533,0.29093281148075667,0.28488372093023256,0.26436781609195403
hitrobbr,1983,1559,0.15522771007055805,0.12716763005780346,0.13688212927756654
letdie1,1983,1524,0.6594488188976378,0.6647727272727273,0.66796875
polabuse,1983,1560,0.8493589743589743,0.9137931034482759,0.8015267175572519
polattak,1983,1576,0.0717005076142132,0.096045197740113,0.06390977443609022
polescap,1983,1534,0.2183833116036506,0.21142857142857144,0.14942528735632185
polhitok,1983,1536,0.20182291666666666,0.2215909090909091,0.14559386973180077
polmurdr,1983,1567,0.9074664964901085,0.9101123595505618,0.9049429657794676
pornlaw,1983,1574,0.04510800508259212,0.06111111111111111,0.033707865168539325
premarsx,1983,1561,0.6271620755925689,0.7344632768361582,0.596958174904943
racfew,1983,1581,0.9506641366223909,0.9555555555555556,0.9438202247191011
rachaf,1983,1476,0.8191056910569106,0.8771929824561403,0.7560975609756098
racmost,1983,1175,0.5506382978723404,0.6413793103448275,0.5191256830601093
racopen,1983,1527,0.48984937786509497,0.5932203389830508,0.4
sexeduc,1983,1551,0.8600902643455834,0.8547486033519553,0.8257575757575758
suicide1,1983,1530,0.49673202614379086,0.5428571428571428,0.4749034749034749
suicide2,1983,1568,0.06568877551020408,0.10112359550561797,0.08270676691729323
suicide3,1983,1566,0.06832694763729247,0.10734463276836158,0.07462686567164178
suicide4,1983,1549,0.14977404777275663,0.19553072625698323,0.15648854961832062
wirtap,1983,1535,0.8071661237785016,0.8850574712643678,0.7452471482889734
